AccountId,Account_Display_Name,Current_Tier_v1,Current_Tier_v2,tier_v3,Composite_Score,Revenue_Current,Revenue_Lifetime,Tickets_Current,Years_Loyalty
10081,The Security Institute,NIL,Nil,Nil,,0.0,127.75,0,1
10082,Shree Vishwakarma Association of UK,High Value,Tier 2,Tier 2,9.11,1327.98,2991.28,3607,3
10083,Burscough Village Primary School PTFA,Tier 3,Tier 4,Tier 4,44.56,95.37,284.56,285,4
10084,MSJ Yr13 celebration,NIL,Nil,Nil,,0.0,149.63,0,2
10088,Film London,NIL,Nil,Nil,,0.0,0.0,0,1
1009,FannyHyde Productions,NIL,Nil,Nil,,0.0,20.42,0,1
10092,Asher Steenhoff,NIL,Nil,Nil,,0.0,141.25,0,2
10096,The Lewy Body Society,Tier 2,Tier 5,Tier 5,60.04,68.0,68.0,84,4
10098,Ysgol Gymraeg Bro Morgannwg,NIL,Nil,Nil,,0.0,0.0,0,1
101,Merchant Taylors' Old Girls' Association,NIL,Nil,Nil,,0.0,24.75,0,2
1010,Reading School Class of 98,NIL,Nil,Nil,,0.0,23.0,0,2
10104,Dulwich College Staff Socials,Tier 3,Tier 5,Tier 5,70.88,9.75,207.87,13,4
10106,Project40Seven,NIL,Nil,Nil,,0.0,16.29,0,2
10107,Morecambe and Lunesdale Labour,NIL,Nil,Nil,,0.0,44.42,0,2
10108,Altrincham Grammar School for Boys,High Value,Tier 2,Tier 2,9.2,1196.92,2055.39,1814,4
1011,5th Generation,NIL,Nil,Nil,,0.0,0.0,0,1
10119,Southam Roller Skaters,Tier 3,Tier 5,Tier 5,56.91,54.33,155.83,159,4
10124,Graeme Brown,Tier 2,Tier 5,Tier 5,75.49,23.0,75.29,24,2
10125,Account Deleted,NIL,Nil,Nil,,0.0,0.0,0,1
10128,Long Service Awards,NIL,Nil,Nil,,0.0,0.0,0,2
10129,BNI Cumbria,NIL,Nil,Nil,,0.0,23.96,0,2
1014,We do HR Limited,NIL,Nil,Nil,,0.0,687.42,0,7
10142,Shiplake College,Tier 4,Tier 3,Tier 3,19.08,444.38,908.12,839,4
10146,London Filming Partnership,NIL,Nil,Nil,,0.0,0.0,0,2
10148,Nicole Neolove,NIL,Nil,Nil,,0.0,1.0,0,1
10149,The Dionysus Ensemble,Tier 3,Free,Free,,0.0,0.0,230,3
10152,JJ,NIL,Nil,Nil,,0.0,0.0,0,1
10155,Wiltshire College & University Centre,Tier 1,Free,Free,,0.0,0.0,22,3
10158,OPUS 48 CHOIR,NIL,Nil,Nil,,0.0,0.0,0,1
10159,Lancashire Music Schools Pay Fees,Tier 3,Tier 5,Tier 5,63.83,14.62,532.0,26,3
1016,Faith in Business,NIL,Nil,Nil,,0.0,615.8,0,3
10160,Lydd Town Football Club,NIL,Nil,Nil,,0.0,0.62,0,1
10161,The Friends of St Mary's Church Wreay,NIL,Nil,Nil,,0.54,17.29,1,3
10163,Lancaster University,NIL,Nil,Nil,,0.0,0.0,0,1
10167,Hooked on Hospice Care,Tier 2,Tier 5,Tier 5,71.24,31.43,65.81,39,3
10168,University of Nottingham / MariNH3,Tier 3,Free,Free,,0.0,0.0,170,3
10172,Stuart,NIL,Nil,Nil,,0.0,0.0,0,1
10173,Clinical Research Network Yorkshire &amp; Humber,NIL,Nil,Nil,,0.0,0.0,0,2
10174,London Euphonia Orchestra,Tier 4,Tier 3,Tier 4,26.22,275.45,765.06,379,3
10175,University of York,NIL,Nil,Nil,,0.0,0.0,0,1
10176,Shebbear College,Tier 4,Tier 3,Tier 3,19.61,427.79,1102.4,1031,3
10177,Jam Crack,NIL,Nil,Nil,,0.0,168.71,0,3
10178,HHYFC,Tier 4,Tier 3,Tier 3,24.61,276.42,785.33,194,4
1018,East Sussex Bach Choir,Tier 4,Tier 2,Tier 2,5.18,1013.67,4765.34,955,9
10180,Camp Bereka,NIL,Nil,Nil,,0.0,100.25,0,1
10181,Barlborough Primary School PTA,NIL,Nil,Nil,,0.0,0.0,0,1
10188,Gosling Press,Tier 2,Tier 5,Tier 5,56.67,65.12,136.83,122,3
10195,Forsyth Bros Ltd,NIL,Nil,Nil,,0.0,0.0,0,1
10196,Aire Valley Uk,Tier 3,Tier 4,Tier 4,47.48,99.54,205.5,72,3
10197,Heskin Hall,Tier 3,Tier 4,Tier 4,41.15,112.5,342.16,142,4
1020,The Kings Trust  Yorkshire and The Humber,NIL,Nil,Nil,,0.0,0.0,5,8
10206,Christie &amp; Ben Wedding,NIL,Nil,Nil,,0.0,111.71,0,1
10207,Fleetwood Town Flyers FC,High Value,Tier 5,Tier 5,65.64,44.04,83.46,2894,3
10213,UHD Bank,NIL,Nil,Nil,,0.0,0.0,0,1
10214,Birchall,NIL,Nil,Nil,,0.0,49.13,0,1
10216,Stacy Procter,NIL,Nil,Nil,,0.0,0.0,0,1
1022,Acrimony  Hoax and Grody,NIL,Nil,Nil,,0.0,0.96,0,1
10222,VidiGo,NIL,Nil,Nil,,0.0,9.51,0,1
10224,Wendover Friends of Guiding,NIL,Nil,Nil,,0.0,15.0,0,2
10229,Hartlepool Carers,NIL,Nil,Nil,,0.0,0.0,0,1
1023,Burgundys Wine Bar,NIL,Nil,Nil,,0.0,12.46,0,2
10232,Dementia team,NIL,Nil,Nil,,0.0,0.0,0,1
10234,Cockermouth Rotary Club,Tier 3,Free,Free,,0.0,0.0,379,3
10237,Salsa 4 Fun,Key Account,Tier 2,Tier 2,5.69,3658.23,5299.9,3036,3
10239,Centre for People-Led Digitalisation,NIL,Nil,Nil,,0.0,0.0,0,1
1024,Scarlets Rugby,Tier 4,Tier 3,Tier 3,18.8,231.54,3170.56,168,8
10240,Miss Molly,NIL,Nil,Nil,,0.0,46.67,0,1
10241,UptonHouse PTA Account,Tier 4,Tier 3,Tier 3,14.49,752.42,1412.66,2136,3
10243,Coach House Pianos,Tier 3,Tier 5,Tier 5,80.49,13.0,54.08,162,3
10255,Glitter and Groove,NIL,Nil,Nil,,0.0,115.5,0,1
10258,Llamas in Pyjamas at The Three Cups,NIL,Nil,Nil,,0.0,35.38,0,1
1026,Lancaster Millennium Choir,NIL,Nil,Nil,,0.0,80.42,0,3
10261,The Imperial,Tier 2,Tier 5,Tier 5,66.69,34.54,108.06,80,3
10264,Library Teaching,NIL,Nil,Nil,,0.0,0.0,0,1
10265,Fantasia Orchestra,NIL,Nil,Nil,,0.0,240.33,0,1
10266,Rose Harvey,NIL,Nil,Nil,,0.0,0.0,0,1
10267,Think Before You Post Session,NIL,Nil,Nil,,0.0,0.0,0,1
10268,1690 Association (George Fox School  Lancaster.),Tier 2,Tier 5,Tier 5,65.03,38.0,116.37,24,3
1027,St John the Baptist School,Tier 3,Tier 4,Tier 4,40.76,85.71,468.4,121,7
10270,Northern Praeclassica,Tier 1,Tier 5,Tier 5,80.49,14.62,46.88,21,3
10272,Arnold House Parents Association,Tier 4,Tier 3,Tier 3,12.87,914.33,1550.01,1469,3
10273,Langdale Estate Activities,High Value,Free,Free,,0.0,0.0,3324,3
10274,kentdale Programme Team,NIL,Nil,Nil,,0.0,6.62,0,1
10275,Frodsham Highfield Male Voice Choir,NIL,Nil,Nil,,0.0,31.04,0,1
10282,Holy Trinity Kendal Parish Church,NIL,Nil,Nil,,0.0,0.0,0,2
10283,Choose Chorley for Business,Tier 2,Free,Free,,0.0,0.0,44,2
10285,Account Deleted,NIL,Nil,Nil,,0.0,0.0,0,1
10286,Valley Rock Voices,Tier 3,Tier 4,Tier 4,43.94,128.25,275.25,171,2
1029,Enhanced Facial,NIL,Nil,Nil,,0.0,0.0,0,1
10290,The Young Women's Movement,Tier 4,Free,Free,,0.0,0.0,436,3
10291,Lancaster City Council,NIL,Nil,Nil,,0.0,0.0,0,2
10292,RSCM,NIL,Nil,Nil,,0.0,0.0,0,1
10293,Pierce,Tier 3,Free,Free,,0.0,0.0,355,3
10297,Wellness Events with Ellie and Ana,Tier 3,Tier 4,Tier 4,43.02,110.6,324.26,261,3
1030,Ron Campbell Photography,NIL,Nil,Nil,,0.0,43.59,0,1
10300,LAURUS TRUST,High Value,Tier 2,Tier 2,8.65,1355.47,3457.54,5224,3
10302,Chetwynde School,Tier 4,Tier 3,Tier 3,18.61,470.52,1167.85,2114,3
10303,Every Life Matters,Tier 3,Tier 4,Tier 4,37.96,196.42,291.33,21,2
10304,Practice Development,Tier 2,Free,Free,,0.0,0.0,42,2
10307,Elliot Lever,Tier 3,Free,Free,,0.0,0.0,186,3
10308,Caton and Brookhouse Community Hub,NIL,Nil,Nil,,0.0,0.0,0,1
10309,Grey Goose Archery &amp; Axes,Tier 2,Tier 5,Tier 5,80.75,25.04,25.04,102,2
10314,Carlisle Youth Zone,Tier 2,Free,Free,,0.0,31.0,76,2
10315,Sheffield City Council,Key Account,Tier 2,Tier 1,4.4,7451.97,15206.6,14784,3
10316,The History Bureau,NIL,Nil,Nil,,4.04,35.07,9,2
10318,RRDN Y&amp;H Admin,Tier 4,Free,Free,,0.0,0.0,438,3
1032,PERRY,NIL,Nil,Nil,,0.0,0.0,0,2
10320,events,NIL,Nil,Nil,,0.0,57.83,0,1
10322,Lisa Forshaw PR,NIL,Nil,Nil,,0.0,110.0,0,1
10325,Fiona Sorotos,Tier 3,Tier 5,Tier 5,52.79,65.92,231.78,103,3
10326,The Edge Chamber Choir,Tier 3,Tier 5,Tier 5,65.76,29.25,154.12,45,3
10327,iron59,NIL,Nil,Nil,,0.0,0.0,0,1
10328,Animal Care Lancaster,Tier 4,Tier 3,Tier 3,18.71,525.16,957.2,749,3
1033,Kendrick Parents' Society,NIL,Nil,Nil,,0.0,207.75,0,4
10333,Tiffin School - Yr 7 Admissions Tours,NIL,Nil,Nil,,0.0,0.0,0,1
10334,Dominic Downs Piano,Tier 1,Tier 5,Tier 5,89.04,9.76,19.57,21,2
10335,Tiffin School,NIL,Nil,Nil,,0.0,35.5,0,1
10339,Brighton Science Festival,Tier 3,Tier 4,Tier 4,38.61,131.22,437.83,316,3
10340,AskMrsWatson,Tier 3,Free,Free,,0.0,5.9,127,3
10341,Events and Partnerships  University of Bradford,NIL,Nil,Nil,,0.0,0.0,0,1
10342,Deep Cabaret,Tier 2,Tier 5,Tier 5,87.0,3.71,47.67,11,2
10343,Chichester Diocese,Tier 2,Tier 5,Tier 5,70.52,43.17,55.83,61,2
10344,The Undercovers Essex,Tier 3,Tier 4,Tier 4,50.25,78.0,237.33,117,3
10347,Property Apprenticeship Manager,Tier 1,Free,Free,,0.0,0.0,18,2
10348,Bendrigg Trust,Tier 3,Tier 4,Tier 4,45.6,94.92,307.24,141,3
10349,NHS Humber Teaching,NIL,Nil,Nil,,0.0,0.0,0,1
10353,Wiltshire Council,NIL,Nil,Nil,,0.0,0.0,0,1
10355,Bradford Grammar Development,Tier 3,Tier 4,Tier 4,42.9,121.88,265.62,253,3
10357,Swan Singers,Tier 2,Tier 5,Tier 5,73.49,19.62,119.88,32,2
10360,Cheryl McDonald Silverbirch,Tier 3,Tier 5,Tier 5,69.91,38.28,56.95,173,3
10362,Craig Sutton,NIL,Nil,Nil,,0.0,17.54,0,1
10363,Midlands Sales Squad,Tier 2,Tier 5,Tier 5,79.98,11.33,86.17,34,2
10364,Kaleidoscopes LGBTQ,NIL,Nil,Nil,,0.0,0.0,0,1
10365,Penrith BID Company Ltd,Tier 4,Tier 5,Tier 5,76.38,18.46,67.58,430,3
10367,Leod Music/Soundhouse Choir,High Value,Tier 2,Tier 2,8.81,1616.96,2610.29,908,3
1037,Account Deleted,NIL,Nil,Nil,,0.0,105.25,0,3
10370,MTSN MedCen,Tier 2,Free,Free,,0.0,0.0,56,3
10372,Bharat Samra,Tier 3,Free,Free,,0.0,0.0,129,3
10373,Inspire Youth Zone,NIL,Nil,Nil,,0.0,31.02,0,1
10374,Mavi Productions Ltd.,Tier 4,Tier 4,Tier 4,28.62,314.92,529.08,337,2
10379,Oaklands Catholic School and Sixth Form College,Tier 4,Tier 3,Tier 3,16.32,599.75,1307.96,841,3
1038,Parafest,NIL,Nil,Nil,,0.0,982.27,0,2
10380,Hilary Newhall,NIL,Nil,Nil,,0.0,3.54,0,1
10381,MindSpark CIC,NIL,Nil,Nil,,3.12,45.46,5,3
10383,St Leonards School Marketing,Tier 2,Free,Free,,0.0,0.0,107,2
10384,St Margaret&#39;s  Putney,NIL,Nil,Nil,,0.0,0.42,0,1
10385,Verulamians RFC,Tier 2,Tier 5,Tier 5,74.6,43.12,43.12,69,1
10386,Cliffe Woods PTA,High Value,Tier 2,Tier 2,12.36,924.0,1687.61,3227,3
10387,Durham High School Old Girls Association,Tier 2,Tier 5,Tier 5,73.44,19.75,92.58,13,3
10392,Moulton Fun Run,NIL,Nil,Nil,,0.0,38.09,0,1
104,Laura Doran,NIL,Nil,Nil,,0.0,71.75,0,1
1040,North Dorset Cycle Ride,Tier 4,Tier 3,Tier 3,23.36,191.19,1450.62,301,8
10400,Hilton Party on the Park,NIL,Nil,Nil,,0.0,22.83,0,1
10403,10th Chippenham Scout Group,NIL,Nil,Nil,,0.0,20.33,0,1
10404,Millys Jolly Jacobs Farm,NIL,Nil,Nil,,0.0,247.46,0,1
10405,Tao Digital Marketing,NIL,Nil,Nil,,0.0,34.13,0,1
10408,Eye Film,NIL,Nil,Nil,,0.0,29.54,0,1
1041,KlezNorth,NIL,Nil,Nil,,0.0,68.62,0,2
10411,Rich Brake,NIL,Nil,Nil,,0.0,0.0,0,1
10415,The Ainsdale Club,NIL,Nil,Nil,,0.0,17.54,0,1
10419,RBL Freshford &amp; WPR,NIL,Nil,Nil,,0.0,35.0,0,2
1042,BNI Vanguard,NIL,Nil,Nil,,0.0,89.23,0,3
10420,Successful Events Limited,NIL,Nil,Nil,,0.0,0.0,0,1
10422,EY Training,Tier 3,Free,Free,,0.0,0.0,150,3
10424,Early Years - Brighton &amp; Hove,NIL,Nil,Nil,,0.0,0.0,0,1
10425,Liverpool College,Tier 4,Tier 3,Tier 3,15.07,649.71,1558.74,1397,3
10426,Dance to School,NIL,Nil,Nil,,0.0,0.0,0,1
10427,Southport Hockey Club,NIL,Nil,Nil,,0.0,76.0,0,1
10429,BCProjects,NIL,Nil,Nil,,0.0,12.29,0,1
1043,Lancaster,NIL,Nil,Nil,,0.0,0.0,0,1
10430,SINAPSE,NIL,Nil,Nil,,0.0,0.0,0,1
10437,Rowan,Tier 2,Tier 5,Tier 5,66.14,26.17,220.83,48,2
10438,Rotary Club of Eynsham & District,Tier 1,Tier 5,Tier 5,82.57,14.25,33.67,29,3
10439,La Zona Tropical,NIL,Nil,Nil,,0.0,25.33,2,3
1044,Castle Hill Primary School,Tier 4,Free,Free,,0.0,0.0,1436,8
10440,Trinity Parents Association,Tier 2,Tier 4,Tier 4,44.39,71.84,1034.56,32,2
10443,Mambo4Fun Ltd,High Value,Tier 2,Tier 2,7.64,2222.98,3051.52,1907,3
10444,Arnold House School,NIL,Nil,Nil,,0.0,14.0,0,1
10446,Life and Soul Youthwork,Tier 2,Tier 5,Tier 5,67.64,31.83,107.43,71,3
10447,Natwest,NIL,Nil,Nil,,6.25,212.25,7,2
1045,Putney High School Careers Department,NIL,Nil,Nil,,0.0,0.0,0,1
10451,Active Health Chiropractic Clinic,NIL,Nil,Nil,,0.0,0.0,0,1
10455,JSWP,NIL,Nil,Nil,,0.0,0.0,0,1
10456,Wigan Borough Business Awards,Tier 4,Tier 3,Tier 3,20.18,575.62,936.92,209,2
10457,Rotary Abingdon,NIL,Nil,Nil,,0.0,26.83,0,1
10458,Leamington Music,NIL,Nil,Nil,,0.0,11.67,0,1
10459,Cumbrian Children's Holiday,Tier 2,Tier 5,Tier 5,85.88,5.96,51.0,11,2
1046,Fir Ends School,NIL,Nil,Nil,,0.0,0.0,0,3
10461,Flash Fringe Festival,NIL,Nil,Nil,,0.0,0.0,0,1
10462,L&D Maudling limited,Tier 4,Tier 3,Tier 3,24.45,281.25,1018.12,419,3
10463,Settle Orchestra,Tier 3,Tier 4,Tier 4,37.05,174.68,321.46,381,3
10464,StorySoc Drama Department,NIL,Nil,Nil,,0.0,0.0,0,1
10466,Advance@1%,Tier 4,Free,Free,,0.0,0.0,502,3
10469,LACVS - LOCAL Project,Tier 3,Free,Free,,0.0,0.0,275,2
1047,Edgebury Primary School PSA,Tier 4,Tier 2,Tier 2,8.51,665.17,3487.49,1514,9
10471,Mollys Little Minnows,NIL,Nil,Nil,,0.0,68.17,0,1
10474,Hoad Events,Tier 4,Tier 5,Tier 5,68.47,22.21,156.61,939,3
10475,Hampshire and Surrey Hills Men's Choir,Tier 3,Tier 4,Tier 4,32.33,218.75,430.72,278,3
10478,North Worcester Primary Academy,NIL,Nil,Nil,,0.0,0.0,0,1
1048,Soul Against Cancer,NIL,Nil,Nil,,0.0,715.52,0,8
10480,Simon Knight,NIL,Nil,Nil,,0.0,0.0,0,1
10482,Kamala&amp;Mark,NIL,Nil,Nil,,0.0,0.0,0,1
10483,Sophie Campbell,NIL,Nil,Nil,,0.0,20.71,0,1
10485,Westmorland and Furness Council,NIL,Nil,Nil,,0.0,0.0,0,2
10486,Thomas Ashton Institute for Risk and Regulatory Research,NIL,Nil,Nil,,0.0,0.0,0,1
10487,Berkshire Chamber Music Festival,NIL,Nil,Nil,,0.0,33.96,0,1
10489,All Hallows Catholic High School,Tier 4,Tier 3,Tier 3,16.46,538.37,1418.67,1506,3
10490,Account Deleted,NIL,Nil,Nil,,0.0,0.0,0,1
10491,RSCM Enterprises,NIL,Nil,Nil,,0.0,43.75,0,1
10493,Mill Hill,Tier 2,Free,Free,,0.0,0.0,77,2
10494,The Heath Band,Tier 1,Tier 5,Tier 5,89.12,5.42,18.96,13,3
10495,The Universe Cafe,NIL,Nil,Nil,,0.0,42.29,0,1
10498,Lisa Darling,NIL,Nil,Nil,,0.0,23.85,0,1
105,Royal Masonic School Music Dept,NIL,Nil,Nil,,0.0,149.52,0,1
1050,Hardy Soft Play Hire,NIL,Nil,Nil,,0.0,1212.63,0,2
10505,YH PSRC,Tier 2,Free,Free,,0.0,0.0,65,2
10506,Wilberforce Sixth From College,NIL,Nil,Nil,,0.0,0.0,0,1
10508,SalsaJulia,Tier 3,Tier 5,Tier 5,56.39,71.17,158.17,130,2
10509,Cumnor - STRIPE,Tier 4,Tier 3,Tier 3,17.32,565.62,1128.75,896,3
10510,DM Events,NIL,Nil,Nil,,0.0,0.0,0,1
10512,YAB Devon,NIL,Nil,Nil,,0.0,0.0,0,1
10513,Community Foundations of Lancashire and Merseyside,NIL,Nil,Nil,,0.0,26.29,0,1
10514,Juliet Rufford Holistic Healer,NIL,Nil,Nil,,0.0,1.79,0,1
10515,Da Capo Chamber Choir,Tier 2,Tier 5,Tier 5,73.14,28.86,73.98,46,2
10518,Christians in Sport,NIL,Nil,Nil,,0.0,0.0,0,1
1052,Dalton Square Florist,NIL,Nil,Nil,,0.0,14.5,0,2
10521,Juliana Silveira,NIL,Nil,Nil,,0.0,31.92,0,1
10522,Kathryn Stevens,Tier 4,Tier 4,Tier 4,29.28,260.46,491.21,66,3
10524,Prince&#39;s Trust,NIL,Nil,Nil,,0.0,0.0,0,1
10529,VIP Team Travel Events,NIL,Nil,Nil,,0.0,30.08,0,1
1053,Gordonstoun,High Value,Tier 2,Tier 2,8.22,653.58,3951.92,3309,9
10530,Swindon Property Chat,NIL,Nil,Nil,,0.0,0.0,0,1
10531,Team Valley Marketing,Tier 4,Tier 3,Tier 3,15.73,567.25,1557.25,1121,3
10532,A J Nowak,Tier 4,Free,Free,,0.0,0.0,606,3
10533,Lancaster University - Cyber Works,NIL,Nil,Nil,,0.0,0.0,0,1
10535,Barnsley CVS,NIL,Nil,Nil,,0.0,0.0,0,1
10537,Teddington Theatre Club,Tier 4,Tier 3,Tier 3,26.9,321.25,707.5,506,2
1054,Hope 4 East Cleveland,Tier 3,Tier 5,Tier 5,61.54,29.0,167.27,131,8
10540,YAB Ribble Valley,Tier 2,Tier 5,Tier 5,89.24,8.93,11.33,50,3
10541,Nelson Trust 21 March event,NIL,Nil,Nil,,0.0,299.13,0,1
10545,East Midlands Forest Education Network,Tier 3,Tier 4,Tier 4,36.25,153.4,475.05,222,3
10546,Westmorland &amp; Furness Commissioning,NIL,Nil,Nil,,0.0,0.0,0,1
10547,Armstrong Watson,Tier 3,Tier 4,Tier 4,39.89,142.79,314.33,149,3
10548,SusHy CDT,NIL,Nil,Nil,,0.0,0.0,0,1
10549,Women In Chemistry,Tier 2,Free,Free,,0.0,0.0,120,3
10552,St Michael's Church  Abingdon,Tier 3,Tier 5,Tier 5,54.88,77.13,129.67,136,3
10554,Korean Supper Club,NIL,Nil,Nil,,0.0,18.12,0,1
10557,Office of Government Property,NIL,Nil,Nil,,0.0,0.0,0,1
10558,True Funny Limited,NIL,Nil,Nil,,0.0,33.75,0,1
10561,Parrenthorn High School 50th,NIL,Nil,Nil,,0.0,148.92,0,1
10562,NHS HNY ICB Hull,NIL,Nil,Nil,,0.0,0.0,0,2
10563,Rainbow Entertainment & Promo,High Value,Tier 2,Tier 2,7.66,1417.5,4795.62,2496,3
10566,Bolton Priory Concert Series,NIL,Nil,Nil,,1.92,221.08,2,2
1057,St Michael's C of E Primary School,NIL,Nil,Nil,,0.0,7.42,0,1
10573,MCR Connect Does…,NIL,Nil,Nil,,0.0,138.58,0,1
10575,Jubilee Hall,NIL,Nil,Nil,,0.0,39.75,0,1
10577,Mark Devlin,Tier 3,Tier 4,Tier 4,31.16,232.01,467.29,397,3
10579,Childrens Homes Quality,NIL,Nil,Nil,,0.0,4.42,3,3
10584,Spencer Academies Trust,Tier 4,Free,Free,,0.0,0.0,577,3
10585,Humber Teaching NHS Foundation Trust,NIL,Nil,Nil,,0.0,0.0,0,1
10586,Royal Alexandra and Albert School,NIL,Nil,Nil,,0.0,248.46,0,1
1059,UCS JB Parents Guild,NIL,Nil,Nil,,0.0,737.73,0,5
10590,Racial Equity in Policy Network,Tier 3,Free,Free,,0.0,0.0,125,3
10591,St Benedict's Catholic School,NIL,Nil,Nil,,0.0,0.0,0,2
10592,34th Nottingham Scouts,NIL,Nil,Nil,,0.0,60.59,0,1
10593,Joshua Hearson,NIL,Nil,Nil,,0.0,24.41,0,1
10600,Ewell Castle School,NIL,Nil,Nil,,0.0,219.83,0,1
10601,Friends of Kettlewell,NIL,Nil,Nil,,0.0,18.12,0,1
10602,Dame Allan's Schools,Tier 4,Tier 3,Tier 4,26.57,281.92,689.38,157,3
10603,Newstead Wood School,High Value,Tier 4,Tier 4,32.47,173.04,693.89,4609,3
10604,Southgate School,Tier 4,Free,Free,,0.0,0.0,1368,2
10608,Location Routes Management Ltd,NIL,Nil,Nil,,0.0,8.25,0,1
1061,All Saints' Singers,NIL,Nil,Nil,,0.0,20.87,0,3
10611,Sarah,NIL,Nil,Nil,,0.0,24.0,0,1
10612,Lpark,NIL,Nil,Nil,,0.0,0.0,0,1
10614,DonnellyBentley,NIL,Nil,Nil,,0.0,0.0,0,1
10616,Kevin MacCallum,NIL,Nil,Nil,,0.0,0.0,0,1
10617,The Longhouse,NIL,Nil,Nil,,0.0,411.67,0,2
10618,Account Deleted,NIL,Nil,Nil,,0.0,0.0,0,1
10620,Luton Creative Community,High Value,Tier 2,Tier 2,5.62,2484.22,7047.36,3478,3
10621,Lancaster City Council,Tier 2,Free,Free,,0.0,0.0,114,2
10623,Oasis PTFA,Tier 3,Tier 5,Tier 5,57.09,63.54,177.58,176,2
10625,Pitstone Memorial Hall,NIL,Nil,Nil,,0.0,145.22,0,2
10627,BHCHS Music,Tier 3,Tier 4,Tier 4,50.46,93.62,201.54,296,2
10628,Vice-Chancellor&#39;s Office,NIL,Nil,Nil,,0.0,0.0,0,1
1063,Lancaster and Fleetwood CLP,NIL,Nil,Nil,,0.0,58.25,0,2
10631,Rotary Club of Dunbar,NIL,Nil,Nil,,0.0,49.09,0,1
10632,Ian Procter,NIL,Nil,Nil,,0.0,29.25,0,1
10634,Danehill PCC,Tier 2,Tier 5,Tier 5,71.89,28.77,89.94,27,2
10635,Hormead School,Tier 4,Tier 4,Tier 4,29.46,257.4,487.63,629,3
10638,Queen's Park Singers,Tier 4,Tier 4,Tier 4,29.3,297.12,516.92,332,2
10639,Children and Young People,NIL,Nil,Nil,,0.0,0.0,0,1
1064,Dentons Deli Limited,NIL,Nil,Nil,,0.0,3321.2,0,5
10640,Greater Manchester Combined Authority,Tier 2,Free,Free,,0.0,0.0,82,3
10644,David Webster,Tier 3,Tier 5,Tier 5,56.31,81.17,95.29,134,3
10648,Cumbria Squash and Racketball,Tier 2,Tier 5,Tier 5,64.73,42.33,101.83,70,3
10649,Account Deleted,NIL,Nil,Nil,,0.0,0.0,0,1
1065,KGS - Sports Department,Tier 4,Tier 4,Tier 4,30.38,104.12,2273.54,329,7
10654,Croydon Property Chats,Tier 3,Free,Free,,0.0,0.0,165,3
