Account_Name,Current_Tier_v1,Previous_Tier_v1,Account_Display_Name,Current_Tier_v2,Previous_Tier_v2,Composite_Score,Revenue_Current,Revenue_Lifetime,Tickets_Current,Years_Loyalty,Current_Tier_v1_mapped,Tier_Changed,AccountId,tier_v3
7546,Key Account,Key Account,The Posh Club ,Tier 2,Tier 2,3.94,2819.79,7870.54,5863,4,Tier 1,TRUE,7546,Tier 1
6383,Key Account,Key Account,Northbourne Park School,Tier 2,Tier 2,5.51,2661.2,6997.98,715,3,Tier 1,TRUE,6383,Tier 2
6366,Key Account,High Value,Woodland Ranch,Tier 1,Tier 2,2.94,2628.21,8372.37,5961,5,Tier 1,FALSE,6366,Tier 1
337,High Value,High Value,Ealing Music Service (London Borough of Ealing),Tier 1,Tier 1,1.06,2621.67,10637.64,1194,10,Tier 2,TRUE,337,Tier 1
13016,High Value,High Value,Red Sky Foundation,Tier 2,Tier 3,6.68,2601.18,3918.92,5391,3,Tier 2,FALSE,13016,Tier 2
1231,Key Account,Key Account,Bolton Music Service,Tier 1,Tier 1,1.47,2596.83,10327.86,6233,8,Tier 1,FALSE,1231,Tier 1
1925,High Value,High Value,Oswestry School,Tier 1,Tier 1,1.41,2592.76,12463.66,1808,8,Tier 2,TRUE,1925,Tier 1
12116,High Value,High Value,MEGA MUSICAL EVENTS,Tier 2,Tier 2,6.06,2532.13,5381.24,800,3,Tier 2,FALSE,12116,Tier 2
4212,Key Account,High Value,The Beacon Museum,Tier 1,Tier 2,2.66,2530.5,6853.92,7719,6,Tier 1,FALSE,4212,Tier 1
10620,High Value,Key Account,Luton Creative Community,Tier 2,Tier 2,5.62,2484.22,7047.36,3478,3,Tier 2,FALSE,10620,Tier 1
562,Key Account,High Value,Grammar School Heads Association,Tier 1,Tier 1,1.15,2461.75,15842.33,310,9,Tier 1,FALSE,562,Tier 2
7672,High Value,Key Account,Kent College,Tier 2,Tier 2,4.31,2442.42,7033.29,4166,4,Tier 2,FALSE,7672,Tier 1
2130,High Value,Tier 4,Village Books Dulwich,Tier 1,Tier 3,2.96,2440.82,4843.93,2294,7,Tier 2,TRUE,2130,Tier 1
1401,High Value,High Value,Sedbergh School,Tier 1,Tier 1,1.75,2437.44,8723.41,2985,8,Tier 2,TRUE,1401,Tier 1
2628,High Value,High Value,Portsmouth Grammar School,Tier 1,Tier 2,3.14,2386.68,5400.49,5302,6,Tier 2,TRUE,2628,Tier 1
1895,High Value,High Value,Taxiplus @ Personnel Checks,Tier 1,Tier 1,1.59,2375,11329.39,1463,8,Tier 2,TRUE,1895,Tier 1
13845,Key Account,Tier 4,Ampthill Cultural Events,Tier 2,Tier 4,9.96,2353.75,2743.12,5542,2,Tier 1,TRUE,13845,Tier 2
13335,High Value,High Value,Beverley Minster,Tier 2,Tier 2,6.77,2317.93,4117.13,3753,3,Tier 2,FALSE,13335,Tier 2
4462,High Value,High Value,The SU Bath,Tier 1,Tier 1,2.44,2239.59,9536.32,5323,6,Tier 2,TRUE,4462,Tier 1
664,Key Account,High Value,Gordon's School Development Office,Tier 1,Tier 1,1.35,2235.87,14693.41,8207,9,Tier 1,FALSE,664,Tier 1
10443,High Value,Tier 4,Mambo4Fun Ltd,Tier 2,Tier 3,7.64,2222.98,3051.52,1907,3,Tier 2,FALSE,10443,Tier 2
9301,High Value,High Value,Warrington Disability Partnership - Christmas Grotto 2023,Tier 2,Tier 2,4.98,2216.75,5317.1,4154,4,Tier 2,FALSE,9301,Tier 1
6230,High Value,High Value,Entrust Music Service Staffordshire,Tier 1,Tier 2,3.38,2193.99,7577.97,4629,5,Tier 2,TRUE,6230,Tier 1
517,Key Account,Key Account,St Paul's School Parents' Group,Tier 1,Tier 1,1.36,2180.53,16420.4,1715,9,Tier 1,FALSE,517,Tier 1
5200,High Value,High Value,Bishop Wordsworth's School,Tier 1,Tier 2,3.49,2132.61,7171.89,2152,5,Tier 2,TRUE,5200,Tier 1
3467,High Value,High Value,Royal Hospital School Music Department,Tier 1,Tier 2,3,2123.2,6414.08,5107,6,Tier 2,TRUE,3467,Tier 1
12233,High Value,High Value,Greystoke Castle,Tier 2,Tier 3,7.39,2120.92,3518.86,3425,3,Tier 2,FALSE,12233,Tier 2
9549,High Value,High Value,Leeds Gymnastics Club,Tier 2,Tier 2,5.12,2100.62,5261.88,3288,4,Tier 2,FALSE,9549,Tier 1
2352,High Value,NIL,Associated Clan MacLeod Society,Tier 2,Nil,7.19,2094.17,3763.04,303,3,Tier 2,FALSE,2352,Tier 2
14116,Key Account,High Value,Farthingloe Events,Tier 2,Tier 3,9.91,2074.96,2966.13,7743,2,Tier 1,TRUE,14116,Tier 2
189,High Value,Tier 4,Reigate Grammar School,Tier 2,Tier 3,8.09,2052.13,2868.25,3451,3,Tier 2,FALSE,189,Tier 2
6349,High Value,High Value,Vinehall School Events,Tier 1,Tier 2,3.51,2035.37,7675.45,1422,5,Tier 2,TRUE,6349,Tier 1
589,High Value,High Value,IAPS Sport,Tier 1,Tier 2,2.45,2019.29,7848.88,3702,7,Tier 2,TRUE,589,Tier 1
15737,High Value,NIL,Weydon School,Tier 2,Nil,11.12,2004.17,2004.17,3309,2,Tier 2,FALSE,15737,Tier 2
194,High Value,High Value,Hutchesons Grammar School,Tier 1,Tier 1,2.21,1950.54,6180.37,3553,10,Tier 2,TRUE,194,Tier 1
1344,High Value,High Value,Newcastle High School for Girls,Tier 1,Tier 1,2.2,1945.75,8038.58,3313,8,Tier 2,TRUE,1344,Tier 1
7328,Key Account,Key Account,Brentwood School,Tier 2,Tier 2,4.97,1940.58,6001.66,6427,4,Tier 1,TRUE,7328,Tier 1
11033,High Value,Tier 4,The Cowshed,Tier 2,Tier 3,8.25,1940.25,2816.46,2660,3,Tier 2,FALSE,11033,Tier 2
676,High Value,High Value,Ampleforth Abbey Trading Ltd,Tier 2,Tier 2,4.85,1891.31,3974.39,242,5,Tier 2,FALSE,676,Tier 2
8530,High Value,High Value,Carlisle Cathedral,Tier 2,Tier 2,5.74,1871.19,4212.36,5000,4,Tier 2,FALSE,8530,Tier 2
3736,High Value,Tier 4,Wilderness Foundation UK,Tier 1,Tier 2,3.57,1859.46,5489.46,1653,6,Tier 2,TRUE,3736,Tier 2
6251,High Value,High Value,Point Acrobatics Gymnastics Club,Tier 2,Tier 2,4.76,1853.71,4269.54,3829,5,Tier 2,FALSE,6251,Tier 2
12208,High Value,Tier 4,Mill Hill School Enterprises,Tier 2,Tier 3,8.82,1847.33,2350.21,545,3,Tier 2,FALSE,12208,Tier 2
3612,High Value,High Value,Redcatch Community Garden,Tier 1,Tier 2,3.51,1838.44,5892.36,3830,6,Tier 2,TRUE,3612,Tier 1
2650,High Value,High Value,Cokethorpe School,Tier 1,Tier 1,2.54,1806.13,8965.73,3883,7,Tier 2,TRUE,2650,Tier 1
3488,High Value,Key Account,Nottingham High School,Tier 1,Tier 1,3.42,1804.86,12390.92,1283,5,Tier 2,TRUE,3488,Tier 1
3440,High Value,High Value,Kendal Whisky festival and events Ltd.,Tier 1,Tier 2,3.38,1793,6388.67,1003,6,Tier 2,TRUE,3440,Tier 2
10802,High Value,Tier 4,UK Jigsaw Puzzle Association,Tier 2,Tier 3,8.7,1746.25,2527.33,1175,3,Tier 2,FALSE,10802,Tier 2
17522,High Value,NIL,Dramacube,Tier 2,Nil,11.84,1705.17,1705.17,2191,2,Tier 2,FALSE,17522,Tier 2
488,Key Account,Key Account,St Paul's School,Tier 1,Tier 2,1.83,1699.93,15351.97,5968,9,Tier 1,FALSE,488,Tier 1
14386,High Value,Tier 4,TMR Health Professionals and Training Ltd,Tier 2,Tier 4,11.31,1685.14,2058.6,322,2,Tier 2,FALSE,14386,Tier 2
2829,High Value,Tier 4,Bolton School,Tier 2,Tier 2,4.27,1655.32,4331.18,1769,6,Tier 2,FALSE,2829,Tier 2
8853,High Value,High Value,Kendal Rugby Trading Ltd,Tier 2,Tier 2,6.12,1644.14,3937.22,4990,4,Tier 2,FALSE,8853,Tier 2
9117,High Value,High Value,Dunottar School,Tier 2,Tier 3,7.9,1636.98,2141.61,3809,4,Tier 2,FALSE,9117,Tier 2
238,High Value,High Value,Culford School,Tier 1,Tier 2,3.34,1636.36,4502.35,2969,9,Tier 2,TRUE,238,Tier 2
7960,High Value,High Value,Rivington Brewing Co Ltd,Tier 2,Tier 2,5.66,1626.88,5086.88,2621,4,Tier 2,FALSE,7960,Tier 2
565,High Value,High Value,Blundell's School,Tier 1,Tier 2,2.56,1621.52,6941.29,3579,9,Tier 2,TRUE,565,Tier 1
3980,High Value,High Value,Sapphire Skaters,Tier 2,Tier 2,3.82,1619.48,5594.9,2226,6,Tier 2,FALSE,3980,Tier 2
10367,High Value,Tier 4,Leod Music/Soundhouse Choir,Tier 2,Tier 3,8.81,1616.96,2610.29,908,3,Tier 2,FALSE,10367,Tier 2
15339,High Value,NIL,Razzamataz Theatre Schools Brentwood,Tier 3,Nil,14.95,1569.68,1569.68,2378,1,Tier 2,TRUE,15339,Tier 2
5071,High Value,High Value,Stonyhurst Enterprises Ltd,Tier 2,Tier 2,4.04,1555,7571.33,2906,5,Tier 2,FALSE,5071,Tier 1
7221,High Value,High Value,Scarborough College,Tier 2,Tier 2,5.79,1542.31,5025.58,3969,4,Tier 2,FALSE,7221,Tier 2
12893,High Value,Tier 4,West Kent Masons,Tier 2,Tier 3,9.43,1541.12,2124.87,1851,3,Tier 2,FALSE,12893,Tier 2
6293,Key Account,High Value,RGSWorcester,Tier 2,Tier 2,4.83,1535.7,5014.2,5589,5,Tier 1,TRUE,6293,Tier 2
14215,High Value,Tier 3,St Hilary's Prep School,Tier 3,Tier 5,12.6,1525.43,1535.35,2941,2,Tier 2,TRUE,14215,Tier 2
374,Key Account,Key Account,Merchiston Castle School,Tier 1,Tier 1,1.91,1520.06,17399.85,872,10,Tier 1,FALSE,374,Tier 2
17223,High Value,NIL,Queen's College Enterprise,Tier 3,Nil,12.68,1518.22,1518.22,1588,2,Tier 2,TRUE,17223,Tier 2
4941,High Value,High Value,Formby Little Theatre,Tier 2,Tier 2,4.36,1511.25,4751.5,2815,6,Tier 2,FALSE,4941,Tier 2
11458,High Value,High Value,Myerscough College,Tier 2,Tier 4,10.42,1508.04,1641.54,2996,3,Tier 2,FALSE,11458,Tier 2
3994,High Value,High Value,Rewild Play,Tier 2,Tier 2,3.76,1503.68,6409.87,4230,6,Tier 2,FALSE,3994,Tier 1
9737,High Value,Tier 4,Ysgol Plasmawr,Tier 2,Tier 2,6.68,1499.51,3616.41,2308,4,Tier 2,FALSE,9737,Tier 2
1519,High Value,Tier 4,Holmewood House Holiday Courses,Tier 1,Tier 2,3.33,1495,5781.25,2599,8,Tier 2,TRUE,1519,Tier 2
510,High Value,High Value,St Edmund's College and Prep,Tier 1,Tier 1,2.66,1492.5,7734.5,2538,9,Tier 2,TRUE,510,Tier 1
11941,High Value,Tier 4,Children and Youth,Tier 2,Tier 3,9.01,1486.12,2665.12,701,3,Tier 2,FALSE,11941,Tier 2
13171,High Value,Tier 4,Ormiston Victory Academy,Tier 2,Tier 3,9.28,1485.37,2400.88,2898,3,Tier 2,FALSE,13171,Tier 2
7914,High Value,Tier 3,Lakes Arts Festivals,Tier 2,Tier 4,8.24,1480.46,2196.13,2840,4,Tier 2,FALSE,7914,Tier 2
8324,High Value,High Value,Haberdashers' Adams,Tier 2,Tier 2,6.77,1470.73,3625.56,4388,4,Tier 2,FALSE,8324,Tier 2
7744,High Value,High Value,Sheffield Music Hub,Tier 2,Tier 2,6.97,1470.6,3458.14,3361,4,Tier 2,FALSE,7744,Tier 2
13974,Key Account,Tier 3,Woodhall Country Park Ltd,Tier 3,Tier 5,12.8,1469.46,1546.12,5481,2,Tier 1,TRUE,13974,Tier 2
7632,High Value,Tier 3,Vincent Bruce Fummey,Tier 2,Tier 4,8.21,1468.33,2250.58,1889,4,Tier 2,FALSE,7632,Tier 2
1588,High Value,Tier 4,Rosemere Cancer Foundation,Tier 1,Tier 2,3.72,1468.08,5185.31,2266,8,Tier 2,TRUE,1588,Tier 2
5500,High Value,High Value,Mount Kelly,Tier 2,Tier 2,6.28,1449.33,4681.47,479,4,Tier 2,FALSE,5500,Tier 2
9390,High Value,High Value,Live Wild CIC,Tier 2,Tier 2,7.24,1448.96,3223.27,650,4,Tier 2,FALSE,9390,Tier 2
7383,High Value,Tier 4,Lancashire Music Service,Tier 2,Tier 3,8.34,1445.2,2214.52,3955,4,Tier 2,FALSE,7383,Tier 2
2105,High Value,High Value,St Albans High School for Girls,Tier 2,Tier 2,3.95,1440.09,5398.42,3727,7,Tier 2,FALSE,2105,Tier 2
4913,High Value,High Value,The Blue Coat School,Tier 2,Tier 2,4.65,1423.12,6518.75,3639,5,Tier 2,FALSE,4913,Tier 2
2297,Key Account,Key Account,George Watson's College,Tier 2,Tier 2,4.14,1420.23,5131.32,6783,7,Tier 1,TRUE,2297,Tier 2
10563,High Value,High Value,Rainbow Entertainment & Promo,Tier 2,Tier 2,7.66,1417.5,4795.62,2496,3,Tier 2,FALSE,10563,Tier 2
5188,High Value,Tier 4,St Leonards Commercial,Tier 2,Tier 2,4.99,1412.84,5607.79,608,5,Tier 2,FALSE,5188,Tier 2
6579,Key Account,Key Account,Bancroft's School,Tier 2,Tier 3,6.6,1392.92,2962.23,6508,5,Tier 1,TRUE,6579,Tier 2
11944,High Value,Tier 4,NAFAS,Tier 3,Tier 4,14.86,1383.75,1849.18,1047,1,Tier 2,TRUE,11944,Tier 2
49,High Value,High Value,Rickmansworth School,Tier 1,Tier 1,2.51,1375.74,10303.02,3173,12,Tier 2,TRUE,49,Tier 1
1293,High Value,High Value,Moreton Hall,Tier 1,Tier 1,3.05,1375.54,9259.62,3869,8,Tier 2,TRUE,1293,Tier 1
1908,High Value,High Value,Holmewood House Swim School,Tier 1,Tier 1,3.26,1371.88,7648.12,2404,8,Tier 2,TRUE,1908,Tier 2
8937,High Value,Tier 4,Bridgwater Hog,Tier 2,Tier 2,6.95,1360.58,3783.37,629,4,Tier 2,FALSE,8937,Tier 2
10300,High Value,Key Account,LAURUS TRUST,Tier 2,Tier 2,8.65,1355.47,3457.54,5224,3,Tier 2,FALSE,10300,Tier 2
4727,High Value,High Value,AKS Lytham,Tier 2,Tier 2,4.33,1345.31,6024.99,3060,6,Tier 2,FALSE,4727,Tier 2
4803,High Value,High Value,Norwich High School for Girls,Tier 2,Tier 2,4.99,1335.88,4462.88,3442,6,Tier 2,FALSE,4803,Tier 2
2822,High Value,High Value,Guildford High School,Tier 2,Tier 2,3.9,1335.62,6364.38,3323,7,Tier 2,FALSE,2822,Tier 2
1309,High Value,High Value,606 Club LLP,Tier 2,Tier 1,3.96,1332.84,8060.02,1532,6,Tier 2,FALSE,1309,Tier 1
10082,High Value,High Value,Shree Vishwakarma Association of UK,Tier 2,Tier 2,9.11,1327.98,2991.28,3607,3,Tier 2,FALSE,10082,Tier 2
1277,High Value,Tier 4,Queen's College London,Tier 2,Tier 2,3.8,1316.52,5904.3,2114,8,Tier 2,FALSE,1277,Tier 2
10043,High Value,High Value,Barnard Castle School,Tier 2,Tier 2,8.38,1311.79,3903.12,2066,3,Tier 2,FALSE,10043,Tier 2
128,High Value,High Value,St Catherine Parents' Guild ,Tier 1,Tier 1,2.89,1300.52,8569.9,2024,11,Tier 2,TRUE,128,Tier 2
4553,High Value,High Value,South Lakes Sports,Tier 2,Tier 2,4.86,1296.27,5038.52,860,6,Tier 2,FALSE,4553,Tier 2
10951,High Value,Tier 4,Friends of Bolton School,Tier 2,Tier 3,10.42,1295.92,1947.48,2252,3,Tier 2,FALSE,10951,Tier 2
426,High Value,High Value,CancerCare,Tier 1,Tier 1,3.1,1294.92,7769.25,854,10,Tier 2,TRUE,426,Tier 2
9118,High Value,High Value,PTFA Fairview School,Tier 2,Tier 2,7.15,1285.42,3814.21,2969,4,Tier 2,FALSE,9118,Tier 2
4061,High Value,High Value,Vipassana Construction and Services Ltd,Tier 2,Tier 2,4.65,1272.41,5773.75,1069,6,Tier 2,FALSE,4061,Tier 2
12810,High Value,Tier 4,Howell's School  Llandaff,Tier 2,Tier 3,10.26,1269,2078.08,2029,3,Tier 2,FALSE,12810,Tier 2
403,High Value,Key Account,Channing School Drama Dept,Tier 2,Tier 2,3.78,1268.88,5386.44,5320,10,Tier 2,FALSE,403,Tier 2
3255,High Value,Tier 4,London City Voices Ltd,Tier 2,Tier 2,6.21,1266.75,3830.45,1431,5,Tier 2,FALSE,3255,Tier 2
778,High Value,High Value,Lumber Lounge,Tier 1,Tier 1,3.04,1259.12,11054.48,1413,9,Tier 2,TRUE,778,Tier 2
348,Key Account,Key Account,Wimbledon High School,Tier 1,Tier 2,3.25,1252.92,8577.63,7188,9,Tier 1,FALSE,348,Tier 1
6997,High Value,High Value,La Di Da Society,Tier 2,Tier 2,6.95,1249.58,4407.35,1984,4,Tier 2,FALSE,6997,Tier 2
15748,High Value,NIL,The Whiskey Brothers,Tier 3,Nil,14.44,1229.95,1229.95,1257,2,Tier 2,TRUE,15748,Tier 3
19815,High Value,NIL,Gwrych Castle,Tier 3,Nil,17.04,1226.9,1226.9,2873,1,Tier 2,TRUE,19815,Tier 3
2060,High Value,High Value,St Helen and St Katharine,Tier 2,Tier 2,4.32,1223.72,5285.08,3586,8,Tier 2,FALSE,2060,Tier 2
8043,High Value,Key Account,Sherborne Girls Events,Tier 2,Tier 2,6.13,1210.29,7046.32,4664,4,Tier 2,FALSE,8043,Tier 2
11759,High Value,Tier 4,Rugby Model Engineering Society,Tier 2,Tier 3,11.1,1207.72,1695.14,3057,3,Tier 2,FALSE,11759,Tier 2
7494,High Value,Tier 4,Hereford Cathedral School,Tier 2,Tier 3,8.17,1207.42,2943.92,1563,4,Tier 2,FALSE,7494,Tier 2
10108,High Value,Tier 4,Altrincham Grammar School for Boys,Tier 2,Tier 3,9.2,1196.92,2055.39,1814,4,Tier 2,FALSE,10108,Tier 2
5158,High Value,Tier 4,Leicester College of Performing Arts,Tier 2,Tier 2,6.12,1188.91,4336.77,1661,5,Tier 2,FALSE,5158,Tier 2
8244,Key Account,Key Account,Stamford Endowed Schools,Tier 2,Tier 2,7.47,1187.87,3752.58,6358,4,Tier 1,TRUE,8244,Tier 2
6298,High Value,Tier 4,Scarisbrick Hall School,Tier 2,Tier 2,6.26,1179.83,4084.62,2621,5,Tier 2,FALSE,6298,Tier 2
9740,High Value,Tier 4,ipswich High School,Tier 2,Tier 3,8.64,1166.42,2583.01,2313,4,Tier 2,FALSE,9740,Tier 2
97,High Value,Tier 4,Merchant Taylors School Lisa Connor,Tier 2,Tier 2,4.08,1164.66,5236.12,1598,11,Tier 2,FALSE,97,Tier 2
197,High Value,High Value,Lady Eleanor Holles School,Tier 1,Tier 1,3.03,1152.98,12843.97,3332,11,Tier 2,TRUE,197,Tier 2
72,High Value,High Value,Haberdashers' School for Girls Box Office,Tier 1,Tier 2,3.6,1151.37,6936.45,3634,11,Tier 2,TRUE,72,Tier 2
13528,High Value,Tier 4,Premier Transport,Tier 2,Tier 3,11.56,1144.43,1600.37,1002,3,Tier 2,FALSE,13528,Tier 2
321,High Value,High Value,Solihull School,Tier 2,Tier 2,3.83,1142.07,6299.36,4051,10,Tier 2,FALSE,321,Tier 2
1779,High Value,Tier 4,Circus Maximus,Tier 2,Tier 2,5.02,1139.18,4118.29,551,8,Tier 2,FALSE,1779,Tier 2
5315,High Value,High Value,Lingen Davies Cancer Fund,Tier 2,Tier 2,7.14,1125.03,4695.95,892,4,Tier 2,FALSE,5315,Tier 2
2950,High Value,Tier 4,KPS,Tier 2,Tier 3,5.31,1124.11,4167.93,3177,7,Tier 2,FALSE,2950,Tier 2
120,High Value,High Value,Lichfield Cathedral School,Tier 2,Tier 1,3.74,1118.63,6544.38,4549,11,Tier 2,FALSE,120,Tier 2
1830,High Value,High Value,Abercarn Primary School,Tier 2,Tier 2,4.29,1110.13,6154.86,2384,8,Tier 2,FALSE,1830,Tier 2
14714,High Value,Tier 3,Kick Up Your Heels!,Tier 3,Tier 5,14.77,1102.86,1233.11,466,2,Tier 2,TRUE,14714,Tier 3
2717,High Value,Tier 4,Stanley Travel Ltd,Tier 2,Tier 2,4.7,1101.03,5902.82,2118,7,Tier 2,FALSE,2717,Tier 2
11741,High Value,High Value,Max Out in the Lake District,Tier 2,Tier 3,10.37,1092.71,2411,1823,3,Tier 2,FALSE,11741,Tier 2
1810,Key Account,High Value,Bishop's Stortford College,Tier 2,Tier 2,5.07,1092.47,4385.97,7928,8,Tier 1,TRUE,1810,Tier 2
9190,High Value,Tier 4,Daniel Paul Priestley,Tier 2,Tier 3,10.34,1089.7,2491.57,2486,3,Tier 2,FALSE,9190,Tier 2
11629,High Value,Tier 4,Wessex Multi-Academy Trust,Tier 2,Tier 3,11.26,1086.37,1825.93,3566,3,Tier 2,FALSE,11629,Tier 2
7455,High Value,High Value,FACT GROUP,Tier 2,Tier 3,8.8,1085.15,2728.02,3221,4,Tier 2,FALSE,7455,Tier 2
14998,Tier 4,NIL,Entrust Outdoors,Tier 3,Nil,15.62,1080.36,1080.36,661,2,Tier 3,FALSE,14998,Tier 3
2290,High Value,Tier 4,Fresh Perspective Resourcing,Tier 2,Tier 2,5.35,1078.83,4619.62,644,7,Tier 2,FALSE,2290,Tier 2
125,Tier 4,Tier 4,FORMS events,Tier 2,Tier 2,4.17,1078.79,5868.58,1887,11,Tier 3,TRUE,125,Tier 2
7607,Tier 4,Tier 4,Bluecoat,Tier 2,Tier 3,8.54,1077.27,2982.77,1991,4,Tier 3,TRUE,7607,Tier 2
12303,High Value,Tier 4,Love Black Country,Tier 3,Tier 4,12.92,1067.07,1256.11,4106,3,Tier 2,TRUE,12303,Tier 2
7966,Tier 4,Tier 4,Music@Malling Ltd,Tier 2,Tier 3,8.67,1060,2925.06,884,4,Tier 3,TRUE,7966,Tier 2
4894,Tier 4,Tier 4,Blackheath High School GDST,Tier 2,Tier 2,6.05,1059.43,4078.68,1540,6,Tier 3,TRUE,4894,Tier 2
2873,Tier 4,High Value,Lansdown Hall & Gallery CIO,Tier 2,Tier 2,5.68,1057.65,4035.78,1589,7,Tier 3,TRUE,2873,Tier 2
6933,Tier 4,Tier 4,MAD Group Malborough,Tier 2,Tier 2,7.22,1057.63,3472.75,1927,5,Tier 3,TRUE,6933,Tier 2
2945,High Value,Tier 4,Aunty Jen Productions,Tier 2,Tier 2,5.46,1056.66,4659.71,1808,7,Tier 2,FALSE,2945,Tier 2
8261,Key Account,Key Account,RMS Events,Tier 2,Tier 2,8.97,1054.04,2740.92,7050,4,Tier 1,TRUE,8261,Tier 2
