input_name,match_status,confidence,AccountId,AccountName,AccountStatus,AccountPostcode,Industry,SubIndustry,MostRecentTransaction,Activity,LastAccountTransactionDate,LastLogIn,candidate_count
St Johns Beaumont,matched,97.1,15600,St John's Beaumont,Activated,sl4 2jn,Education,Independent School - Prep,2025-11-06,active_12m,2025-11-06 17:44:37.433420,2025-12-19 10:41:12,1
St Benedicts,matched,96.0,1812,St Benedict's School,Activated,nan,Education,Independent School - Senior,2026-04-06,active_12m,2026-03-31 18:27:50.881161,2026-04-07 09:38:08,1
RGS Worchester,matched,92.3,6293,RGSWorcester,Activated,nan,Education,Independent School - Senior,2026-03-23,active_12m,2026-03-23 18:41:30.616010,2026-03-23 08:50:11,1
Barnard Castle School,matched_multiple,100,10043,Barnard Castle School,Activated,nan,Education,Independent School - Senior,2026-04-06,active_12m,2026-04-06 20:52:59.151666,2026-04-02 11:34:47,2
Benenden,matched_multiple,100,5916,Benenden,Activated,nan,Education,Independent School - Senior,2025-03-04,dormant,2025-03-04 06:17:46.617810,2026-01-22 09:48:26,2
Blackheath High School,matched_multiple,100,4894,Blackheath High School GDST,Activated,se3 7ag,Education,Independent School - Senior,2026-03-19,active_12m,2026-03-24 17:59:21.867141,2026-03-24 12:56:54,2
Brentwood School,matched_multiple,100,7328,Brentwood School,Activated,cm15 8ee,Education,Independent School - Senior,2026-04-02,active_12m,2026-04-06 17:01:33.178618,2026-04-04 16:11:21,2
Bromley High School,matched_multiple,100,560,Bromley High School,Closed,nan,Education,Independent School - Senior,2018-09-13,dormant,nan,2018-09-13 17:02:11,2
Caterham School,matched_multiple,100,5505,Caterham School,Activated,cr3 6ya,Education,Independent School - Senior,2026-03-27,active_12m,2026-03-27 16:24:09.268541,2026-03-27 17:56:11,2
Culford,matched_multiple,100,207,Culford School Foundation,Activated,ip28 6tx,Education,Independent School - Senior,2017-06-28,dormant,2017-08-01 07:56:04.000000,nan,3
Newcastle High School For Girls,matched_multiple,100,1344,Newcastle High School for Girls,Activated,nan,Education,Independent School - Senior,2026-04-03,active_12m,2026-04-02 16:45:52.639618,2026-04-07 08:56:03,2
St James Enterprises,matched_multiple,100,4392,St James Schools,Activated,nan,Education,Independent School - Senior,2023-09-16,dormant,2024-02-02 19:05:25.000000,2024-09-12 09:33:38,2
The Princethorpe Foundation,matched_multiple,100,202,Princethorpe College,Activated,cv23 9px,Education,Independent School - Senior,2019-12-04,dormant,nan,2019-12-03 21:17:46,2
St Nicholas School,review,88.0,14899,St Nicholas&#39; School,In Review,nan,Education,Independent School - Senior,,no_bookings,nan,2026-01-10 11:30:29,1
Kensington Prep School,review,86.7,5388,Kensington Park School,Activated,nan,Education,Independent School - Prep,,no_bookings,nan,2022-03-11 15:53:11,1
Windlesham House School,review,86.5,15584,Windlesham House Golf,Activated,nan,nan,nan,,no_bookings,nan,2025-05-21 15:23:29,1
Howell's,review,85.7,16766,Howell,Activated,nan,Event Organiser,nan,,no_bookings,2025-11-07 17:22:07.888292,2025-11-07 12:11:21,1
Marlborough College,review,85.7,399,Yarborough Academy,Activated,nan,Education,State School - Primary,,no_bookings,nan,nan,1
Thomas's College,review,85.7,7368,Thomas,Activated,nan,Ticket Purchaser,nan,,no_bookings,nan,2023-01-24 20:55:40,1
Wellington College,review,85.7,15479,Swillington,Activated,nan,Agriculture,Farming,,no_bookings,2025-10-09 17:18:56.134613,2025-10-08 11:51:28,1
West Bookland School,review,84.6,7799,West Buckland School,Activated,ex32 0sx,Education,Independent School - Senior,,no_bookings,2024-12-02 18:28:11.720994,2025-11-03 10:11:28,1
Somerhill,review,84.2,9476,Summerhill School,Activated,dy6 9xe,Education,Independent School - Senior,,no_bookings,nan,2025-03-27 14:17:15,1
St Michaels Prep School,review,81.2,111,St Michael's P & F,Activated,br2 6ee,Education,PTA,,no_bookings,nan,nan,1
BEDE'S,review,80.0,18747,BEES,Activated,ta9 3np,Theatres,nan,,no_bookings,2026-03-16 17:01:23.482641,2026-03-28 14:47:57,1
Birkenhead high school academy,review,80.0,17639,Birkenhead School,Activated,nan,Education,Independent - Grammar,2026-04-02,active_12m,2026-04-02 15:02:42.289071,2026-04-02 12:54:49,1
Brighton College,review,80.0,15068,BrightonSoup,Activated,bn1 3xg,Non Profit,CIC,,no_bookings,2026-04-07 16:54:43.492777,2026-04-07 16:25:47,1
Danes Hill School,review,80.0,7982,Rydes Hill School,Activated,nan,Education,Independent School - Senior,,no_bookings,2026-03-20 17:41:18.000000,2026-03-26 08:27:10,1
John Lyon,review,80.0,3725,John Bolton,Activated,nan,nan,nan,,no_bookings,nan,2021-06-02 16:20:54,1
Kent College Canterbury,review,80.0,18951,The John  Canterbury,Activated,nan,Event Organiser,Music,,no_bookings,nan,2026-01-16 19:12:16,1
Kitebrook School,review,80.0,9023,Kate Brooks,Unactivated,nan,nan,nan,,no_bookings,nan,nan,1
Langley School,review,80.0,5362,Langdale,Activated,nan,Tourism,Venue,,no_bookings,nan,2026-03-24 20:02:30,1
Micklefield School,review,80.0,3790,Millfield School,Activated,nan,Education,Independent School - Senior,,no_bookings,nan,2025-12-02 11:23:18,1
Ruthin School,review,80.0,10312,Ruth,Suspended,nan,nan,nan,,no_bookings,nan,nan,1
West Hill Park,review,78.6,11660,Westhills Farm,Activated,nan,Agriculture,Farming,,no_bookings,nan,2025-06-01 12:53:13,1
Kingham Hill School,review,78.3,11507,Higham Hall College,Activated,nan,Education,Independent School - Senior,,no_bookings,2026-04-02 07:38:16.087264,2026-04-06 08:24:16,1
Spratton Hall,review,78.3,15412,Upton Hall School,Activated,nan,Education,Independent - Grammar,,no_bookings,2025-06-18 15:05:42.000000,2025-06-25 07:26:56,1
Queen Elizabeths School,review,78.0,8542,Queen Elizabeth's Grammar School,Activated,nan,Education,State School - Grammar,,no_bookings,nan,2024-10-04 12:27:04,1
The Kings School Canterbury,review,77.4,18951,The John  Canterbury,Activated,nan,Event Organiser,Music,,no_bookings,nan,2026-01-16 19:12:16,1
Withington,review,76.9,8691,Withington Girls' School,Activated,nan,Education,Independent School - Senior,,no_bookings,nan,2024-04-23 15:28:34,1
Framlingham College,review,76.2,164,Hurlingham School,Activated,sw15 2nq,Education,Independent School - Prep,,no_bookings,nan,2020-01-21 10:01:11,1
New Hall School,review,76.2,5881,New Hall Farm Ltd,Activated,nan,Agriculture,Farming,,no_bookings,nan,2025-06-07 21:27:01,1
RedMaids High School,review,76.2,259,Redmaids' School,Activated,bs9 3aw,Education,Independent School - Senior,,no_bookings,nan,nan,1
Beeston Hall School,review,75.0,1293,Moreton Hall,Activated,sy11 3ew,Education,Independent School - Senior,,no_bookings,2026-04-02 09:21:41.000000,2026-04-07 09:54:37,1
Bradfield College,review,75.0,3788,Bradfields Farm,Activated,nan,nan,nan,,no_bookings,nan,2021-06-27 07:26:13,1
North London School,review,75.0,2445,Novel London Ltd,Activated,nan,Business,nan,,no_bookings,nan,2020-03-17 23:35:07,1
Norwich High School,review,75.0,9740,ipswich High School,Activated,nan,Education,Independent School - Senior,,no_bookings,2026-03-10 17:49:15.352877,2026-03-30 09:26:31,1
Shrewbury School,review,75.0,14788,Shrewsbury Pals,Activated,nan,Community,nan,,no_bookings,2025-04-11 03:32:34.064815,2025-09-29 12:31:40,1
The Perse School,review,75.0,17604,Pee,Suspended,nan,nan,nan,,no_bookings,nan,2025-10-12 14:32:17,1
UCS Facilities,review,75.0,6373,EUCSA,Activated,nan,nan,nan,,no_bookings,nan,2022-09-09 16:50:53,1
Ipswich School,none,73.7,,,,,,,,,,,0
Leweston,none,73.7,,,,,,,,,,,0
Cothill House,none,72.7,,,,,,,,,,,0
Oakham School Enterprises,none,72.7,,,,,,,,,,,0
Prep Schools Trust,none,72.7,,,,,,,,,,,0
Roedean,none,72.7,,,,,,,,,,,0
Ryde School,none,72.7,,,,,,,,,,,0
The Maynard School,none,72.7,,,,,,,,,,,0
Milton Abbey School,none,72.0,,,,,,,,,,,0
Northwood College,none,72.0,,,,,,,,,,,0
Oxford High School,none,72.0,,,,,,,,,,,0
Hampton School,none,71.4,,,,,,,,,,,0
Lord Wandsworth College,none,71.4,,,,,,,,,,,0
Maltmans Green,none,71.4,,,,,,,,,,,0
Sibford,none,71.4,,,,,,,,,,,0
Aldenham Enterprises LTD,none,70.6,,,,,,,,,,,0
Prince's Mead,none,70.0,,,,,,,,,,,0
Bromsgrove School,none,69.0,,,,,,,,,,,0
St Columbas College,none,68.8,,,,,,,,,,,0
Croydon High School,none,66.7,,,,,,,,,,,0
Felsted,none,66.7,,,,,,,,,,,0
Haileybury,none,66.7,,,,,,,,,,,0
Lorretto,none,66.7,,,,,,,,,,,0
Marymount School London,none,66.7,,,,,,,,,,,0
Oundle School Enterprises,none,66.7,,,,,,,,,,,0
Piper's Corner School,none,66.7,,,,,,,,,,,0
Repton,none,66.7,,,,,,,,,,,0
St Dunstans,none,66.7,,,,,,,,,,,0
Sydenham School,none,66.7,,,,,,,,,,,0
Westonbirt School,none,66.7,,,,,,,,,,,0
Notting Hill and Ealing High School,none,65.1,,,,,,,,,,,0
Berkhamstead,none,63.6,,,,,,,,,,,0
Collingham Kensington,none,63.6,,,,,,,,,,,0
Chinthurst School,none,63.2,,,,,,,,,,,0
Monmouth School,none,62.5,,,,,,,,,,,0
St Edward's Oxford,none,62.5,,,,,,,,,,,0
Chandlings Prep Oxford,none,60.5,,,,,,,,,,,0
